location;time of measurement;weekday;pedestrians count;temperature in ºc;weather condition;incidents
Zeil (Mitte), Frankfurt a.M.;2020-07-27 00:00:00 +0200;Monday;58975;29;partly-cloudy-day;
Zeil (Mitte), Frankfurt a.M.;2020-07-28 00:00:00 +0200;Tuesday;57566;28;partly-cloudy-day;
Zeil (Mitte), Frankfurt a.M.;2020-07-29 00:00:00 +0200;Wednesday;60707;27;partly-cloudy-day;
Zeil (Mitte), Frankfurt a.M.;2020-07-30 00:00:00 +0200;Thursday;62674;30;clear-day;
Zeil (Mitte), Frankfurt a.M.;2020-07-31 00:00:00 +0200;Friday;58442;34;clear-day;
Zeil (Mitte), Frankfurt a.M.;2020-08-01 00:00:00 +0200;Saturday;77486;33;partly-cloudy-day;
Zeil (Mitte), Frankfurt a.M.;2020-08-02 00:00:00 +0200;Sunday;21849;27;rain;
Zeil (Mitte), Frankfurt a.M.;2020-08-03 00:00:00 +0200;Monday;66657;24;rain;
Zeil (Mitte), Frankfurt a.M.;2020-08-04 00:00:00 +0200;Tuesday;63469;25;rain;
Zeil (Mitte), Frankfurt a.M.;2020-08-05 00:00:00 +0200;Wednesday;60139;29;clear-day;
Zeil (Mitte), Frankfurt a.M.;2020-08-06 00:00:00 +0200;Thursday;60023;31;clear-day;
Zeil (Mitte), Frankfurt a.M.;2020-08-07 00:00:00 +0200;Friday;57245;34;clear-day;
Zeil (Mitte), Frankfurt a.M.;2020-08-08 00:00:00 +0200;Saturday;71195;36;clear-day;
Zeil (Mitte), Frankfurt a.M.;2020-08-09 00:00:00 +0200;Sunday;17588;37;partly-cloudy-day;
Zeil (Mitte), Frankfurt a.M.;2020-08-10 00:00:00 +0200;Monday;53811;35;rain;
Zeil (Mitte), Frankfurt a.M.;2020-08-11 00:00:00 +0200;Tuesday;48240;35;rain;
Zeil (Mitte), Frankfurt a.M.;2020-08-12 00:00:00 +0200;Wednesday;51617;34;rain;
Zeil (Mitte), Frankfurt a.M.;2020-08-13 00:00:00 +0200;Thursday;59194;29;rain;
Zeil (Mitte), Frankfurt a.M.;2020-08-14 00:00:00 +0200;Friday;64950;27;rain;
Zeil (Mitte), Frankfurt a.M.;2020-08-15 00:00:00 +0200;Saturday;97338;29;rain;
Zeil (Mitte), Frankfurt a.M.;2020-08-16 00:00:00 +0200;Sunday;22220;31;rain;
Zeil (Mitte), Frankfurt a.M.;2020-08-17 00:00:00 +0200;Monday;50536;26;rain;
Zeil (Mitte), Frankfurt a.M.;2020-08-18 00:00:00 +0200;Tuesday;51560;27;rain;
Zeil (Mitte), Frankfurt a.M.;2020-08-19 00:00:00 +0200;Wednesday;56518;28;partly-cloudy-day;
Zeil (Mitte), Frankfurt a.M.;2020-08-20 00:00:00 +0200;Thursday;54503;31;partly-cloudy-day;
Zeil (Mitte), Frankfurt a.M.;2020-08-21 00:00:00 +0200;Friday;56017;33;partly-cloudy-day;
Zeil (Mitte), Frankfurt a.M.;2020-08-22 00:00:00 +0200;Saturday;91371;27;rain;
Zeil (Mitte), Frankfurt a.M.;2020-08-23 00:00:00 +0200;Sunday;23164;25;partly-cloudy-day;
Zeil (Mitte), Frankfurt a.M.;2020-08-24 00:00:00 +0200;Monday;56265;23;partly-cloudy-day;
Zeil (Mitte), Frankfurt a.M.;2020-08-25 00:00:00 +0200;Tuesday;54247;25;partly-cloudy-day;
Zeil (Mitte), Frankfurt a.M.;2020-08-26 00:00:00 +0200;Wednesday;52392;23;partly-cloudy-day;
Zeil (Mitte), Frankfurt a.M.;2020-08-27 00:00:00 +0200;Thursday;62514;24;partly-cloudy-day;
Zeil (Mitte), Frankfurt a.M.;2020-08-28 00:00:00 +0200;Friday;68598;24;rain;
Zeil (Mitte), Frankfurt a.M.;2020-08-29 00:00:00 +0200;Saturday;104195;22;partly-cloudy-day;
Zeil (Mitte), Frankfurt a.M.;2020-08-30 00:00:00 +0200;Sunday;18336;22;rain;
Zeil (Mitte), Frankfurt a.M.;2020-08-31 00:00:00 +0200;Monday;61646;21;rain;
Zeil (Mitte), Frankfurt a.M.;2020-09-01 00:00:00 +0200;Tuesday;61147;22;rain;
Zeil (Mitte), Frankfurt a.M.;2020-09-02 00:00:00 +0200;Wednesday;59847;23;partly-cloudy-day;
Zeil (Mitte), Frankfurt a.M.;2020-09-03 00:00:00 +0200;Thursday;55336;22;rain;
Zeil (Mitte), Frankfurt a.M.;2020-09-04 00:00:00 +0200;Friday;64764;28;partly-cloudy-day;
Zeil (Mitte), Frankfurt a.M.;2020-09-05 00:00:00 +0200;Saturday;100739;23;partly-cloudy-day;
Zeil (Mitte), Frankfurt a.M.;2020-09-06 00:00:00 +0200;Sunday;24078;21;partly-cloudy-day;
